"ID","Раздел","Что это","Текст"
"META-01","Метатеги","Описание сайта в поиске Google","Вокальная студия Harmony в Ташкенте: современный вокал, экстрим-вокал, музыкальная грамотность. Занятия один на один, пять педагогов, два филиала. Научим петь вашу песню — и объясним, что именно мешало."
"META-02","Метатеги","Заголовок при отправке ссылки","Harmony — вокальная студия в Ташкенте"
"META-03","Метатеги","Описание при отправке ссылки","Занятия один на один, пять педагогов, два филиала в Ташкенте. Научим петь вашу песню и объясним, что мешало. Экстрим-вокал ставим так, чтобы голос оставался здоровым."
"META-04","Метатеги","Описание для Twitter/X","Вокал, экстрим-вокал и музыкальная грамотность. Индивидуально. Ташкент."
"TITLE-01","Вкладка браузера","Заголовок вкладки браузера","Harmony — вокальная студия в Ташкенте \| Индивидуальные занятия вокалом"
"MENU-01","Шапка сайта","Пункт меню","Направления"
"MENU-02","Шапка сайта","Пункт меню","Педагоги"
"MENU-03","Шапка сайта","Пункт меню","Ученики"
"MENU-04","Шапка сайта","Пункт меню","Вопросы"
"MENU-05","Шапка сайта","Пункт меню","Цены"
"MENU-06","Шапка сайта","Пункт меню","Контакты"
"MENU-07","Шапка сайта","Кнопка","Записаться"
"HERO-01","Первый экран","Надзаголовок секции","Ташкент · вокальная студия"
"HERO-02","Первый экран","Строка главного заголовка","ГОЛОС —"
"HERO-03","Первый экран","Строка главного заголовка","ЭТО АНАТОМИЯ,"
"HERO-04","Первый экран","Строка главного заголовка","А НЕ МАГИЯ"
"HERO-05","Первый экран","Текст под заголовком","Вы придёте с песней, которую давно хотите спеть, — и уйдёте, зная, что именно мешало вам её вытянуть. Без «пой животом» и «просто расслабься»: мы объясняем, а не заклинаем. Разницу слышно на первом же занятии."
"HERO-06","Первый экран","Кнопка","Записаться на занятие"
"HERO-07","Первый экран","Кнопка","Как проходит занятие"
"HERO-08","Первый экран","Цифра","1:1"
"HERO-09","Первый экран","Подпись к цифре","только индивидуально"
"HERO-10","Первый экран","Цифра","60"
"HERO-11","Первый экран","Подпись к цифре","минут занятие"
"HERO-12","Первый экран","Цифра","5"
"HERO-13","Первый экран","Подпись к цифре","педагогов"
"HERO-14","Первый экран","Цифра","2"
"HERO-15","Первый экран","Подпись к цифре","филиала в городе"
"HERO-16","Первый экран","Подпись «вниз»","Вниз"
"MARQ-01","Бегущая строка","Слово в бегущей строке","СКРИМ"
"MARQ-02","Бегущая строка","Слово в бегущей строке","◆"
"MARQ-03","Бегущая строка","Слово в бегущей строке","ГРОУЛ"
"MARQ-04","Бегущая строка","Слово в бегущей строке","ШТРОБАСС"
"MARQ-05","Бегущая строка","Слово в бегущей строке","МИКСТ"
"MARQ-06","Бегущая строка","Слово в бегущей строке","БЕЛТИНГ"
"MARQ-07","Бегущая строка","Слово в бегущей строке","ТВЭНГ"
"MARQ-08","Бегущая строка","Слово в бегущей строке","СУБТОН"
"MARQ-09","Бегущая строка","Слово в бегущей строке","АНКЕРОВКА"
"TRACK-01","Направления","Надзаголовок секции","Направления"
"TRACK-02","Направления","ЗАГОЛОВОК СЕКЦИИ","ТРИ НАПРАВЛЕНИЯ"
"TRACK-03","Направления","Подзаголовок секции","Начните с одного, добавьте второе, когда захочется. Вокал вместе с музыкальной грамотностью идёт заметно быстрее, чем по отдельности."
"TRACK-04","Направления","Метка над названием","С нуля и дальше"
"TRACK-05","Направления","Название направления","Современный вокал"
"TRACK-06","Направления","Описание направления","Поп, рок, джаз, эстрада — от первой чистой ноты до своей манеры"
"TRACK-07","Направления","Пункт списка направления","Попадать в ноту и удерживать её до конца фразы"
"TRACK-08","Направления","Пункт списка направления","Брать верх спокойно, а не вытягивать криком"
"TRACK-09","Направления","Пункт списка направления","Проходить стык регистров без щелчка и провала"
"TRACK-10","Направления","Пункт списка направления","Держать опору так, чтобы её хватало на длинную строчку"
"TRACK-11","Направления","Пункт списка направления","Управлять тембром: мягче, ярче, плотнее — по настроению песни"
"TRACK-12","Направления","Пункт списка направления","Довести свою песню до состояния, когда её не стыдно спеть"
"TRACK-13","Направления","Примечание под списком","С 7–8 лет и без верхней границы"
"TRACK-14","Направления","Кнопка","Записаться"
"TRACK-15","Направления","Бейдж на карточке","Экстрим без вреда для связок"
"TRACK-16","Направления","Метка над названием","Рок и метал"
"TRACK-17","Направления","Название направления","Экстрим-вокал"
"TRACK-18","Направления","Описание направления","Ставим приёмы с нуля — так, чтобы наутро голос был на месте"
"TRACK-19","Направления","Пункт списка направления","Фрай-скрим — высокий режущий крик"
"TRACK-20","Направления","Пункт списка направления","Фолс-корд — плотный низкий рык"
"TRACK-21","Направления","Пункт списка направления","Дисторшн — хрип поверх чистой ноты"
"TRACK-22","Направления","Пункт списка направления","Переключаться с чистого голоса на экстрим прямо в песне"
"TRACK-23","Направления","Пункт списка направления","Отличать рабочую нагрузку от сигнала остановиться"
"TRACK-24","Направления","Пункт списка направления","Допевать концерт целиком, а не два куплета"
"TRACK-25","Направления","Примечание под списком","Подросткам и взрослым"
"TRACK-26","Направления","Кнопка","Записаться"
"TRACK-27","Направления","Метка над названием","Теория и фортепиано"
"TRACK-28","Направления","Название направления","Музыкальная грамотность"
"TRACK-29","Направления","Описание направления","Перестать петь наугад: вы слышите, из чего собрана песня"
"TRACK-30","Направления","Пункт списка направления","Ноты, ритм, длительности"
"TRACK-31","Направления","Пункт списка направления","Интервалы, аккорды, тональности"
"TRACK-32","Направления","Пункт списка направления","Фортепиано с первого занятия"
"TRACK-33","Направления","Пункт списка направления","Подбирать на слух и читать с листа"
"TRACK-34","Направления","Пункт списка направления","Разбирать гармонию песен, которые вам нравятся"
"TRACK-35","Направления","Примечание под списком","Ведёт Камила"
"TRACK-36","Направления","Кнопка","Записаться"
"FIRST-01","Первое занятие","Надзаголовок секции","Первое занятие"
"FIRST-02","Первое занятие","ЗАГОЛОВОК СЕКЦИИ","ЧТО БУДЕТ НА ПЕРВОМ УРОКЕ"
"FIRST-03","Первое занятие","Подзаголовок секции","Никаких прослушиваний и оценок. Вы поёте, педагог слушает — и к концу часа вы уже понимаете, что с вашим голосом делать дальше."
"FIRST-04","Первое занятие","Номер шага","1"
"FIRST-05","Первое занятие","Шаг: заголовок","Распевка"
"FIRST-06","Первое занятие","Шаг: текст","Разогреваем голос и настраиваем слух. С этого начинается каждое занятие — и вы быстро научитесь делать это сами."
"FIRST-07","Первое занятие","Номер шага","2"
"FIRST-08","Первое занятие","Шаг: заголовок","Слушаем ваш голос"
"FIRST-09","Первое занятие","Шаг: текст","Где ваш диапазон сейчас, что уже звучит хорошо, а что мешает. Это точка отсчёта, к которой вы вернётесь через месяц."
"FIRST-10","Первое занятие","Номер шага","3"
"FIRST-11","Первое занятие","Шаг: заголовок","Находим, что мешает"
"FIRST-12","Первое занятие","Шаг: текст","У каждого зажима есть причина и приём, который его снимает. Педагог называет и то, и другое — простыми словами."
"FIRST-13","Первое занятие","Номер шага","4"
"FIRST-14","Первое занятие","Шаг: заголовок","Берём вашу песню"
"FIRST-15","Первое занятие","Шаг: текст","Берём именно ту песню, ради которой вы пришли, и намечаем, что подтянуть в ближайший месяц."
"FIRST-16","Первое занятие","Цифра","1–2 раза"
"FIRST-17","Первое занятие","Подпись к цифре","в неделю — обычный ритм"
"FIRST-18","Первое занятие","Цифра","300 000"
"FIRST-19","Первое занятие","Подпись к цифре","сум разовое занятие"
"FIRST-20","Первое занятие","Кнопка","Выбрать время"
"FIRST-21","Первое занятие","Абзац про пробное занятие","<b>Бесплатного пробного у нас нет — и это честнее.</b> За пятнадцать бесплатных минут вам успеют только улыбнуться и записать на курс. Здесь первое занятие — полноценный урок с разбором голоса и упражнениями. Вы уходите с планом, а не со знакомством."
"METHOD-01","Как мы учим","Надзаголовок секции","Как мы учим"
"METHOD-02","Как мы учим","ЗАГОЛОВОК СЕКЦИИ","ПРАВИЛЬНОГО ПЕНИЯ НЕ СУЩЕСТВУЕТ"
"METHOD-03","Как мы учим","Подзаголовок секции","«Правильно» и «неправильно» в вокале — вопрос вкуса и стиля. Важно другое: <b>безопасно ли это для голоса</b>. Звучать вы будете так, как хочется вам, — наша работа в том, чтобы получалось и без нас."
"METHOD-04","Как мы учим","Карточка: заголовок","Только один на один"
"METHOD-05","Как мы учим","Карточка: текст","Никаких групп и потоков. Длина связок, форма тракта, речевые привычки у всех разные — упражнение, которое открывает голос одному, другому не подойдёт."
"METHOD-06","Как мы учим","Карточка: заголовок","Вы уходите с инструментом"
"METHOD-07","Как мы учим","Карточка: текст","Не «повторяй за мной», а понятный приём, который вы воспроизведёте дома. Через полгода вы сможете заниматься сами."
"METHOD-08","Как мы учим","Карточка: заголовок","Ошибку ловим сразу"
"METHOD-09","Как мы учим","Карточка: текст","В группе кривую ноту не слышно, и она превращается в привычку. Здесь педагог слышит только вас — поправите на этом же занятии."
"METHOD-10","Как мы учим","Карточка: заголовок","Голос остаётся здоровым"
"METHOD-11","Как мы учим","Карточка: текст","Вы научитесь отличать рабочую усталость от сигнала остановиться. Даже экстрим не сажает голос, если делать его верно."
"METHOD-12","Как мы учим","Заголовок блока мифов","Три совета, которые вам давали зря"
"METHOD-13","Как мы учим","Миф (зачёркнут)","«Пой диафрагмой»"
